Line no 1: TOKEN <IF> Lexeme if found
Line no 1: TOKEN <ELSE> Lexeme else found
Line no 1: TOKEN <ADDOP> Lexeme + found
Line no 1: TOKEN <CONST_INT> Lexeme 123 found
Line no 2: TOKEN <FOR> Lexeme for found
Line no 2: TOKEN <LPAREN> Lexeme ( found
Line no 2: TOKEN <INT> Lexeme int found
Line no 2: TOKEN <ID> Lexeme i found
Line no 2: TOKEN <ASSIGNOP> Lexeme = found
Line no 2: TOKEN <CONST_INT> Lexeme 0 found
Line no 2: TOKEN <SEMICOLON> Lexeme ; found
Line no 2: TOKEN <ID> Lexeme i found
Line no 2: TOKEN <RELOP> Lexeme < found
Line no 2: TOKEN <CONST_INT> Lexeme 10 found
Line no 2: TOKEN <SEMICOLON> Lexeme ; found
Line no 2: TOKEN <ID> Lexeme i found
Line no 2: TOKEN <INCOP> Lexeme ++ found
Line no 2: TOKEN <RPAREN> Lexeme ) found
Line no 3: TOKEN <LCURL> Lexeme { found
Line no 4: TOKEN <CHAR> Lexeme char found
Line no 4: TOKEN <ID> Lexeme count found
Line no 4: TOKEN <INCOP> Lexeme -- found
Line no 4: TOKEN <SEMICOLON> Lexeme ; found
Line no 5: TOKEN <RCURL> Lexeme } found
Line no 6: TOKEN <VOID> Lexeme void found
Line no 6: TOKEN <ID> Lexeme add found
Line no 6: TOKEN <LPAREN> Lexeme ( found
Line no 6: TOKEN <FLOAT> Lexeme float found
Line no 6: TOKEN <ID> Lexeme a found
Line no 6: TOKEN <RPAREN> Lexeme ) found
Line no 7: TOKEN <LCURL> Lexeme { found
Line no 8: TOKEN <INT> Lexeme int found
Line no 8: TOKEN <ID> Lexeme a found
Line no 8: TOKEN <ASSIGNOP> Lexeme = found
Line no 8: TOKEN <CONST_INT> Lexeme 3 found
Line no 8: TOKEN <COMMA> Lexeme , found
Line no 8: TOKEN <ID> Lexeme b found
Line no 8: TOKEN <ASSIGNOP> Lexeme = found
Line no 8: TOKEN <CONST_INT> Lexeme 5 found
Line no 8: TOKEN <COMMA> Lexeme , found
Line no 8: TOKEN <ID> Lexeme c found
Line no 8: TOKEN <SEMICOLON> Lexeme ; found
Line no 9: TOKEN <SWITCH> Lexeme switch found
Line no 9: TOKEN <LPAREN> Lexeme ( found
Line no 9: TOKEN <ID> Lexeme a found
Line no 9: TOKEN <RPAREN> Lexeme ) found
Line no 10: TOKEN <LCURL> Lexeme { found
Line no 11: TOKEN <CASE> Lexeme case found
Line no 11: TOKEN <CONST_INT> Lexeme 1 found
Line no 12: TOKEN <DEFAULT> Lexeme default found
Line no 12: TOKEN <CONTINUE> Lexeme continue found
Line no 12: TOKEN <SEMICOLON> Lexeme ; found
Line no 13: TOKEN <RCURL> Lexeme } found
Line no 14: TOKEN <ID> Lexeme c found
Line no 14: TOKEN <ASSIGNOP> Lexeme = found
Line no 14: TOKEN <ID> Lexeme a found
Line no 14: TOKEN <MULOP> Lexeme * found
Line no 14: TOKEN <ID> Lexeme b found
Line no 14: TOKEN <MULOP> Lexeme / found
Line no 14: TOKEN <ID> Lexeme a found
Line no 14: TOKEN <MULOP> Lexeme % found
Line no 14: TOKEN <ID> Lexeme c found
Line no 14: TOKEN <SEMICOLON> Lexeme ; found
Line no 15: TOKEN <FLOAT> Lexeme float found
Line no 15: TOKEN <ID> Lexeme d found
Line no 15: TOKEN <SEMICOLON> Lexeme ; found
Line no 16: TOKEN <ID> Lexeme d found
Line no 16: TOKEN <ASSIGNOP> Lexeme = found
Line no 16: TOKEN <SEMICOLON> Lexeme ; found
Line no 17: TOKEN <ID> Lexeme d found
Line no 17: TOKEN <ASSIGNOP> Lexeme = found
Line no 17: TOKEN <CONST_FLOAT> Lexeme 4.45 found
Line no 17: TOKEN <ID> Lexeme E found
Line no 17: TOKEN <SEMICOLON> Lexeme ; found
Line no 18: TOKEN <ID> Lexeme d found
Line no 18: TOKEN <ASSIGNOP> Lexeme = found
Line no 18: TOKEN <CONST_FLOAT> Lexeme 5.67E12 found
Line no 18: TOKEN <SEMICOLON> Lexeme ; found
Line no 19: TOKEN <ID> Lexeme d found
Line no 19: TOKEN <ASSIGNOP> Lexeme = found
Line no 19: TOKEN <CONST_FLOAT> Lexeme .00E-34 found
Line no 19: TOKEN <SEMICOLON> Lexeme ; found
Line no 20: TOKEN <ID> Lexeme d found
Line no 20: TOKEN <ASSIGNOP> Lexeme = found
Line no 20: TOKEN <CONST_FLOAT> Lexeme .10E3 found
Line no 20: TOKEN <CONST_FLOAT> Lexeme .4 found
Line no 20: TOKEN <SEMICOLON> Lexeme ; found
Line no 21: TOKEN <CHAR> Lexeme char found
Line no 21: TOKEN <ID> Lexeme a found
Line no 21: TOKEN <ASSIGNOP> Lexeme = found
Line no 21: TOKEN <CONST_CHAR> Lexeme 'a' found
Line no 21: TOKEN <SEMICOLON> Lexeme ; found
Line no 22: TOKEN <CHAR> Lexeme char found
Line no 22: TOKEN <ID> Lexeme b found
Line no 22: TOKEN <ASSIGNOP> Lexeme = found
Line no 22: TOKEN <CONST_CHAR> Lexeme '\n' found
Line no 22: TOKEN <SEMICOLON> Lexeme ; found
Line no 23: TOKEN <CHAR> Lexeme char found
Line no 23: TOKEN <ID> Lexeme c found
Line no 23: TOKEN <ASSIGNOP> Lexeme = found
Line no 23: TOKEN <CONST_CHAR> Lexeme '\t' found
Line no 24: TOKEN <CHAR> Lexeme char found
Line no 24: TOKEN <ID> Lexeme n found
Line no 24: TOKEN <ASSIGNOP> Lexeme = found
Line no 24: TOKEN <CONST_CHAR> Lexeme '\"' found
Line no 25: TOKEN <CHAR> Lexeme char found
Line no 25: TOKEN <SEMICOLON> Lexeme ; found
Line no 26: TOKEN <STRING> Lexeme "this is \t me" found
Line no 26: TOKEN <SEMICOLON> Lexeme ; found
Line no 27: TOKEN <STRING> Lexeme "I love \b Bangladesh" found
Line no 27: TOKEN <SEMICOLON> Lexeme ; found
Line no 30: TOKEN <STRING> Lexeme "one more \
    night \
    by maroon5" found
Line no 30: TOKEN <SEMICOLON> Lexeme ; found
Line no 40: TOKEN <STRING> Lexeme "I am \t asif" found
Line no 41: TOKEN <INT> Lexeme int found
Line no 41: TOKEN <SEMICOLON> Lexeme ; found
Line no 42: TOKEN <SEMICOLON> Lexeme ; found
Line no 43: TOKEN <RCURL> Lexeme } found
total error number:0
